Cohort,Pos. obs.,AP Ratios,AP Text,AP Ratios + Text,AUC Ratios,AUC Text,AUC Ratios + Text
2013,16,0.0147,0.0239,0.0441,0.8316,0.8706,0.8932
2014,32,0.0145,0.0479,0.0312,0.6815,0.8125,0.7962
2015,36,0.0170,0.0477,0.0535,0.7481,0.8100,0.8586
2016,44,0.0601,0.1360,0.1533,0.7831,0.9024,0.8785
2017,27,0.0146,0.0360,0.0794,0.6940,0.8605,0.8510
2018,25,0.0312,0.1279,0.1485,0.8366,0.8995,0.9234
2019,45,0.0901,0.1577,0.2384,0.7540,0.8739,0.8475
2020,45,0.0332,0.3533,0.2412,0.7971,0.9390,0.9469
2021,5,0.0266,0.3847,0.4809,0.9009,0.9965,0.9951
2022,28,0.0232,0.0386,0.0771,0.7338,0.7867,0.8287
2023,61,0.0475,0.1673,0.2060,0.7191,0.8708,0.8750
2024,44,0.0678,0.0705,0.0928,0.7221,0.8579,0.8817
**Cohort median**,,**0.0289**,**0.0992**,**0.1206**,,,
**Cohort mean**,,**0.0367**,**0.1326**,**0.1539**,,,
**Event-weighted**,,**0.0425**,**0.1301**,**0.1447**,,,
**Pooled observation-level**,,**0.0246**,**0.0489**,**0.0769**,0.7523,0.7719,0.7954
