Cohort,Brier Ratios,Brier Text,Brier Ratios + Text,Intercept Ratios,Intercept Text,Intercept Ratios + Text,Slope Ratios,Slope Text,Slope Ratios + Text
2013,0.21639,0.00579,0.00709,-5.812,-2.722,-2.870,0.659,1.007,0.984
2014,0.19707,0.00755,0.00855,-4.913,-1.414,-2.280,0.420,1.104,0.790
2015,0.21934,0.00889,0.00844,-4.908,-2.115,-1.789,0.767,0.548,0.644
2016,0.23073,0.01340,0.00984,-4.868,-1.771,-1.316,1.059,1.113,0.769
2017,0.22186,0.15962,0.05911,-5.057,-4.551,-3.950,0.573,2.358,1.083
2018,0.22116,0.00578,0.00560,-5.403,-0.695,-0.609,1.193,0.965,0.979
2019,0.21112,0.01017,0.04797,-4.625,-0.797,-3.080,0.978,0.823,1.258
2020,0.22328,0.00986,0.06774,-4.606,-1.079,-3.582,0.914,0.997,1.677
2021,0.21441,0.00242,0.00332,-7.377,-2.509,-3.074,1.391,1.325,1.215
2022,0.20294,0.00615,0.00604,-5.029,-1.536,-1.106,0.717,0.498,0.630
2023,0.23120,0.01372,0.01361,-4.318,-1.209,-1.269,0.677,0.686,0.713
2024,0.23785,0.01291,0.01355,-4.662,-1.809,-1.843,0.789,0.675,0.700
